,SSC-H,SSC-A,FSC-H,FSC-A
16257,8070.0,8077.43017578125,11023.0,20298.935546875
16258,1745.0,1602.592529296875,8544.0,11766.7001953125
16259,4477.0,3865.308349609375,5985.0,7901.0546875
16260,999242.0,1062161.75,10703.0,38297.4453125
16261,50945.0,50190.55859375,7038.0,12550.4501953125
16262,2692.0,2159.460693359375,7836.0,7081.77490234375
16263,8296.0,7941.40673828125,9364.0,15622.3701171875
16265,899131.0,905271.0625,12170.0,39827.515625
16266,4283.0,4357.37451171875,6807.0,6426.8447265625
16267,2967.0,2957.011962890625,6229.0,5658.48486328125
16268,133558.0,133509.859375,11801.0,19856.234375
16269,3039.0,2783.404541015625,8921.0,12492.974609375
16270,7823.0,7873.99658203125,3638.0,2806.489990234375
16271,37245.0,36826.59375,9695.0,12677.6552734375
16272,5845.0,5959.43212890625,9598.0,19009.5
16273,63732.0,64687.58984375,6446.0,10509.7548828125
16274,120997.0,124692.7890625,8210.0,13756.759765625
16275,9742.0,9447.966796875,7128.0,11357.439453125
16276,1965.0,1605.6688232421875,2080.0,456.3800048828125
16277,55764.0,55178.765625,2959.0,-3163.405029296875
16278,4769.0,4463.23779296875,4948.0,5046.39990234375
16279,5975.0,5485.28857421875,6017.0,8941.4951171875
16281,3633861.0,3582710.0,63047.0,87023.703125
16284,278403.0,273501.5,7907.0,18869.75390625
16285,165860.0,166517.828125,8380.0,14681.109375
16286,44793.0,44992.765625,8689.0,15366.1552734375
16287,48103.0,48302.0078125,6327.0,10543.669921875
16288,1743.0,1165.1632080078125,3259.0,3222.68505859375
16289,128774.0,129804.3828125,8356.0,13133.46484375
16290,1019881.0,1002200.6875,11445.0,14068.64453125
16291,216571.0,209856.5,7800.0,21554.64453125
16292,3506.0,3429.149658203125,10652.0,18152.98046875
16294,49087.0,48982.86328125,3343.0,4636.6650390625
16295,241836.0,245061.90625,4359.0,6008.56005859375
16296,1704.0,1402.8369140625,2933.0,1371.5150146484375
16297,9358.0,9346.25,3493.0,1115.679931640625
16298,44514.0,44014.51953125,6435.0,8862.9296875
16299,7170.0,6845.92724609375,3629.0,3691.224853515625
16300,227817.0,227221.40625,56.0,-15543.044921875
16302,151349.0,154803.0,5459.0,-2324.27001953125
16303,3616.0,3539.7607421875,2325.0,-6582.26513671875
16304,94764.0,95252.671875,4158.0,-1600.179931640625
16306,50241.0,48519.21875,7404.0,3254.699951171875
16307,130231.0,131294.09375,7481.0,12685.4453125
16309,45329.0,47191.6171875,7026.0,7458.44970703125
16310,162303.0,164831.5625,5766.0,12575.1494140625
16311,2421.0,2268.667724609375,1760.0,-5530.61474609375
16312,45020.0,43803.73046875,6962.0,2424.875
16313,3320297.0,3250005.25,64626.0,71603.5859375
16315,43462.0,43318.68359375,2987.0,-4559.6201171875
16316,4763.0,4359.5146484375,1322.0,-1472.3099365234375
16317,245035.0,249444.828125,7457.0,15399.21484375
16318,96828.0,94915.2890625,3923.0,2444.635009765625
16319,879988.0,858480.3125,7728.0,31790.23046875
16320,50294.0,87742.34375,5912.0,10152.26953125
16322,5340.0,4652.494140625,4166.0,6836.77001953125
16323,26681.0,27287.07421875,4271.0,-4952.35009765625
16325,923514.0,897805.0,4339.0,1309.2900390625
16326,933314.0,919375.3125,4993.0,-2995.159912109375
16328,224141.0,220868.40625,3328.0,-11332.64453125
